State,ConfirmeConfirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths
Total,9075,1061,303,7711,12/04/2020 20:30:24,TT,623,89,14
Maharashtra,1895,208,127,1560,12/04/2020 14:35:24,MH,134,0,0
Tamil Nadu,1075,50,11,1014,12/04/2020 18:10:24,TN,106,6,1
Delhi,1154,28,24,1102,12/04/2020 20:30:25,DL,85,1,5
Telangana,503,96,14,393,11/04/2020 22:10:24,TG,0,0,0
Rajasthan,796,116,9,671,12/04/2020 15:35:25,RJ,96,0,0
Kerala,375,179,2,194,12/04/2020 17:35:25,KL,2,36,0
Uttar Pradesh,480,45,5,430,12/04/2020 19:35:31,UP,28,0,0
Andhra Pradesh,420,12,7,401,12/04/2020 19:20:25,AP,15,2,1
Madhya Pradesh,562,41,43,478,12/04/2020 17:20:25,MP,33,3,3
Karnataka,232,54,6,172,12/04/2020 13:50:25,KA,17,15,0
Gujarat,516,44,24,448,12/04/2020 20:20:27,GJ,48,0,2
Haryana,195,44,3,148,12/04/2020 19:35:32,HR,16,8,1
Jammu and Kashmir,244,6,4,234,12/04/2020 19:20:26,JK,21,0,0
Punjab,170,23,12,135,12/04/2020 18:51:07,PB,12,3,0
West Bengal,134,19,5,110,12/04/2020 14:20:26,WB,8,3,0
Odisha,54,12,1,41,11/04/2020 23:35:26,OR,0,0,0
Bihar,64,26,1,37,12/04/2020 19:10:26,BR,0,11,0
Uttarakhand,35,5,0,30,08/04/2020 21:20:26,UT,0,0,0
Assam,29,0,1,28,10/04/2020 10:20:25,AS,0,0,0
Chandigarh,21,7,0,14,10/04/2020 18:10:27,CH,2,0,0
Himachal Pradesh,32,9,2,21,11/04/2020 22:00:34,HP,0,1,0
Ladakh,15,11,0,4,10/04/2020 11:20:26,LA,0,0,0
Andaman and Nicobar Islands,11,10,0,1,30/03/2020 11:27:27,AN,0,0,0
Chhattisgarh,25,9,0,16,12/04/2020 01:10:26,CT,0,0,0
Goa,7,5,0,2,11/04/2020 23:26:44,GA,0,0,0
Puducherry,7,1,0,6,10/04/2020 17:50:26,PY,0,0,0
Jharkhand,17,0,2,15,12/04/2020 19:35:37,JH,0,0,1
Manipur,2,1,0,1,06/04/2020 22:35:54,MN,0,0,0
Mizoram,1,0,0,1,26/03/2020 07:19:29,MZ,0,0,0
Arunachal Pradesh,1,0,0,1,02/04/2020 11:42:31,AR,0,0,0
Dadra and Nagar Haveli,1,0,0,1,06/04/2020 15:22:25,DN,0,0,0
Tripura,2,0,0,2,10/04/2020 20:00:27,TR,0,0,0
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0
Meghalaya,0,0,0,0,26/03/2020 07:19:29,ML,0,0,0
Nagaland,0,0,0,0,26/03/2020 07:19:29,NL,0,0,0
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0